partition,variable,active_samples,num_events,activation_ratio,entropy,mean_run_length,max_run_length,mean_gap_between_events
train,peticion_liquido,154205,91,0.156946382462472,0.6269540252687439,1694.5604395604396,33100.0,10443.855555555556
train,peticion_polvo,0,0,0.0,0.0,0.0,0.0,
train,peticion_sal,0,0,0.0,0.0,0.0,0.0,
train,puertas_abierta,198862,2983,0.20239727317046857,0.7266968088335211,66.66510224606101,66086.0,329.4490274983233
train,rele_peticion_aceite_2,11306,1838,0.011506992640450754,0.0906257120842954,6.151251360174102,326.0,500.44202504082745
train,rele_peticion_aceite_3,0,0,0.0,0.0,0.0,0.0,
train,rele_peticion_harina_1,105156,1694,0.1070254128868954,0.49087798829041535,62.07556080283353,248.0,580.3083284111045
train,rele_peticion_harina_2,0,0,0.0,0.0,0.0,0.0,
train,rele_peticion_harina_3,0,0,0.0,0.0,0.0,0.0,
train,rele_peticion_salvado,32701,1569,0.0332823426795843,0.2105945304566822,20.84193753983429,44.0,621.5733418367347
train,sal_descarga_1,651898,229,0.6634871296943716,0.9214426068875747,2846.71615720524,69488.0,4297.7192982456145
train,sal_descarga_2,655042,858,0.6666870222170654,0.9182754771590755,763.4522144522144,66533.0,1146.3092182030339
train,seg_sobre_volteo,0,0,0.0,0.0,0.0,0.0,
train,seguridad_artesa_en_posicion,0,0,0.0,0.0,0.0,0.0,
train,seguridad_final_carrera_superior_elevador_artesa,0,0,0.0,0.0,0.0,0.0,
train,siguiente_ingrediente,0,0,0.0,0.0,0.0,0.0,
train,siguiente_ingrediente_1,0,0,0.0,0.0,0.0,0.0,
train,siguiente_ingrediente_2,0,0,0.0,0.0,0.0,0.0,
train,silo_1_harina,356806,43,0.36314912577999925,0.9452661905394247,8297.813953488372,69488.0,22331.119047619046
train,silo_2_harina,295695,32,0.30095172375889667,0.8824511696798003,9240.46875,22181.0,31455.032258064515
train,silo_3_harina,0,0,0.0,0.0,0.0,0.0,
train,sobre_carga_bascula_2,0,0,0.0,0.0,0.0,0.0,
train,sobre_carga_bascula_l1,0,0,0.0,0.0,0.0,0.0,
train,sobre_carga_bascula_p1,0,0,0.0,0.0,0.0,0.0,
train,sobrecarga_basc,0,0,0.0,0.0,0.0,0.0,
train,subir_elevador,45454,3210,0.0462620593913894,0.2703010649064265,14.1601246105919,29.0,306.1162355874104
train,tapa_no_enclava,20513,4,0.020877670266545755,0.14634045409117824,5128.25,18352.0,52104.666666666664
train,temperatura_de_masa,744292,9,0.7575236658717824,0.7991341416567084,82699.11111111111,254113.0,92298.125
train,temperatura_harina,0,0,0.0,0.0,0.0,0.0,
train,temperatura_tolva_harina,0,0,0.0,0.0,0.0,0.0,
train,temperatura_tolva_liquidos,630537,20,0.641746384090916,0.9412240040584969,31526.85,102784.0,49798.05263157895
train,termico_bomba_vacio,0,0,0.0,0.0,0.0,0.0,
train,termico_elevador_artesa,4994,2,0.005082780934584386,0.04604587106688923,2497.0,4891.0,2387.0
